date,close_price,miners_revenue,difficulty,hash_rate,median_confirmation_time,avg_block_size,n_unique_addresses,n_transactions_per_block,n_transactions,cost_per_transaction_percent
2023-08-28,26088.78,19666378.699688364,55621444139430.0,326264924.27253294,10.366666666666667,1.5833044491525425,636935.0,2808.008474576271,331345.0,0.8754028091505824
2023-08-29,26108.31,26890150.788067795,55621444139430.0,436863203.68695074,8.566666666666666,1.658418797468355,767879.0,3166.4620253164558,500301.0,0.7037505021671482
2023-08-30,27731.23,22094413.287385218,55621444139430.0,348384580.1554164,9.775,1.6237680714285725,665354.0,3238.1031746031745,408001.0,0.6193358673031407
2023-08-31,27301.12,24961857.55441304,55621444139430.0,398153805.89190453,8.525,1.6487308333333335,742110.0,3037.7430555555557,437435.0,0.7678230430475256
2023-09-01,25932.99,25120794.91081459,55621444139430.0,417508504.7894277,7.55,1.6880327483443716,769950.0,2778.46357615894,419548.0,0.7127466194491724
2023-09-02,25802.1,25144099.92728905,55621444139430.0,420273461.77478814,8.783333333333333,1.706112842105263,774348.0,3550.9736842105262,539748.0,2.1405918854730266
2023-09-03,25869.09,26107291.39871566,55621444139430.0,436863203.68695074,7.25,1.683306569620253,696368.0,3957.3227848101264,625257.0,2.4826430197564116
2023-09-04,25969.05,25039640.94070276,55621444139430.0,411978590.8187068,8.8,1.6293902953020132,730142.0,3846.953020134228,573196.0,1.612352301870251
2023-09-05,25810.86,21245406.274935115,55621444139430.0,342854666.18469554,9.566666666666666,1.5411401290322577,753968.0,3726.5564516129034,462093.0,0.9298779171942233
2023-09-06,25785.3,22504229.026187494,54302721812289.63,364419397.2930779,6.483333333333333,1.545213800000001,757286.0,3595.237037037037,485357.0,1.011879821144908
2023-09-07,25753.31,24404908.237159327,54150142369480.0,393005453.9397736,9.033333333333333,1.653818,785059.0,3684.513698630137,537939.0,1.1109102944215887
2023-09-08,26243.47,22598608.962329462,54150142369480.0,358011817.6300677,8.45,1.614360571428571,694292.0,3118.7894736842104,414799.0,1.1765789635529318
2023-09-09,25906.03,25270696.568339124,54150142369480.0,406464544.828122,8.4,1.696613264900663,927787.0,3956.3509933774835,597409.0,2.0466179391250017
2023-09-10,25894.31,24948509.55641232,54150142369480.0,395697272.1174433,8.35,1.658724156462585,847065.0,3798.605442176871,558395.0,2.4891560678381515
2023-09-11,25832.82,26180834.564799786,54150142369480.0,427999090.2494795,7.633333333333334,1.5389142075471702,719793.0,2887.622641509434,459132.0,1.1259088965821697
2023-09-12,25162.7,23588981.36153588,54150142369480.0,379546363.0514252,10.25,1.6130623900709222,784703.0,3278.921985815603,462328.0,0.8788538284023204
2023-09-13,25835.7,24786596.15628565,54150142369480.0,395697272.1174433,10.4,1.6724070136054419,802393.0,3486.0272108843537,512446.0,1.3028037763284135
2023-09-14,26227.98,27600711.13450581,54150142369480.0,436074544.7824885,7.625,1.6847384938271606,875176.0,3556.882716049383,576215.0,1.3032948649931055
2023-09-15,26536.02,32037508.81394793,54150142369480.0,506061817.40190023,7.816666666666666,1.6998291808510644,1017545.0,3743.0425531914893,703692.0,1.2231886694841663
2023-09-16,26605.75,26464639.493225966,54150142369480.0,417231817.5388007,7.233333333333333,1.684559477419356,876224.0,3826.7354838709675,593144.0,1.8882046293183432
2023-09-17,26568.65,25479813.23061756,54150142369480.0,401080908.4727827,10.95,1.7224605906040273,854606.0,4102.147651006711,611220.0,2.8715001109813225
2023-09-18,26536.54,27760078.561090413,54150142369480.0,419923635.7164705,9.366666666666667,1.7435591346153843,852484.0,4075.9294871794873,635845.0,1.1881357675146347
2023-09-19,26763.76,25100244.17051251,55816608966185.68,385677556.7313763,11.666666666666666,1.6710127050359713,741822.0,3553.143884892086,493887.0,0.9820993468135671
2023-09-20,27222.12,26065716.14019558,57119871304635.0,414558853.7494199,8.025,1.6569082191780817,823616.0,3779.3356164383563,551783.0,1.1946063711198618
2023-09-21,27133.55,24381114.451694295,57119871304635.0,391843300.11931473,10.149999999999999,1.6412595072463765,763149.0,3127.1014492753625,431540.0,0.9619431855118564
2023-09-22,26569.6,22706065.06682296,57119871304635.0,366288302.28544635,10.766666666666667,1.631603403100775,757791.0,3423.8682170542634,441679.0,1.097886661859144
2023-09-23,26581.86,27666483.922672935,57119871304635.0,442953295.78705144,8.208333333333332,1.6663353012820512,882768.0,4036.00641025641,629617.0,1.7983826209236227
2023-09-24,26580.72,25269067.88255642,57119871304635.0,414558853.7494199,9.270833333333332,1.6791603972602742,685778.0,3021.7876712328766,441181.0,1.8489968819201383
2023-09-25,26252.75,24661550.73070846,57119871304635.0,411719409.5456568,7.6,1.7311993448275862,635909.0,1970.6896551724137,285750.0,0.8893682862503035
2023-09-26,26293.29,23061586.50874123,57119871304635.0,386164411.7117884,8.266666666666666,1.722585742647058,624716.0,2277.860294117647,309789.0,0.9273837038149908
2023-09-27,26212.82,26698372.824476056,57119871304635.0,445792739.99081457,8.95,1.6966282866242037,621414.0,2148.184713375796,337265.0,1.0281080154635616
2023-09-28,26357.65,25747626.191917732,57119871304635.0,414558853.7494199,10.075,1.7175773493150683,639899.0,2595.719178082192,378975.0,0.7710385213933182
2023-09-29,27021.15,25946534.412971754,57119871304635.0,417398297.95318305,11.35,1.7131524557823128,713902.0,2246.7278911564626,330269.0,0.8156212613230549
2023-09-30,26916.91,23854988.05610223,57119871304635.0,391843300.11931473,7.683333333333334,1.7384846594202898,625600.0,1996.1884057971015,275474.0,1.0735199182865407
2023-10-01,26970.43,24442856.9810465,57119871304635.0,400361632.7306042,10.0,1.7667108510638305,613394.0,2273.1631205673757,320516.0,1.816540670059798
2023-10-02,27983.92,28329529.39362417,57119871304635.0,445792739.99081457,8.633333333333333,1.7953097643312097,691873.0,2192.7579617834394,344263.0,0.7122406040808803
2023-10-03,27532.51,28995037.486792862,57252656596459.91,466751379.41330886,6.9,1.8681197439024382,676161.0,1894.2926829268292,310664.0,1.104815987133884
2023-10-04,27430.23,23240602.983478393,57321508229258.0,373280259.4846018,9.55,1.7388578931297707,638418.0,2194.1221374045804,287430.0,0.648874570178582
